CNTRYID,CNT,HDI,RMSE,MAE,corr,kendall,median_RMSE,median_MAE
442,Luxembourg,0.892,64.0710906821137,50.82455380983225,0.7689812214132073,0.5770672328279303,99.71016173118632,82.43056916399321
620,Portugal,0.83,62.26882196391753,49.27498303467001,0.744543231072577,0.5537072618367251,93.2653575904443,76.23094689419796
208,Denmark,0.923,66.22541528710046,52.72748198553099,0.7178561674696403,0.5251536891151675,94.51221780362006,76.95414439324117
372,Ireland,0.916,60.98194661876199,48.491333179375275,0.7350112286505319,0.5332193091009773,88.78602496531248,71.20773053475004
484,Mexico,0.756,75.55539146363257,61.366797787749064,0.6077140722380807,0.42385641609573527,71.08437498453505,57.06918406448203
616,Poland,0.843,67.92148685799528,54.27581324764426,0.6952235884786442,0.5029193520238324,89.18778719959091,72.3495696739616
250,France,0.888,64.52573828363275,51.09168757988138,0.7720341411680492,0.5764679855881,101.70354161620338,83.13833939096267
76,Brazil,0.755,75.50299104755156,60.37890256324793,0.6278825497974435,0.42659026483724566,86.44478252710192,68.82261280843524
246,Finland,0.883,76.00676381347037,60.93893206482305,0.7060030980334951,0.5109333405185937,96.44998447829482,77.24937164229854
380,Italy,0.873,66.94163498248939,53.1266281489978,0.6672724052940057,0.48067266176155293,89.35368859570636,72.6484012777346
756,Switzerland,0.93,68.65983010181917,54.911982599664064,0.7266292573054117,0.5294622742315158,98.09043915661388,80.09131655290102
858,Uruguay,0.793,62.415034462112956,49.55822322210986,0.7140431503546422,0.5172823926574809,88.12212473627466,71.80572236885516
554,New Zealand,0.913,67.04265023276096,53.17186696327243,0.7674776698918317,0.5718914478894114,104.16103205234543,84.92129469026548
40,Austria,0.885,67.19927071967234,53.34404913201591,0.7325713408944761,0.5359589294342717,96.70029955831156,78.99512872841444
203,Czech Republic,0.87,63.089057494034954,50.07110867039463,0.7673704012234014,0.5742504521559512,97.76087620668392,80.3295091383812
233,Estonia,0.861,81.35562664153755,66.701600272465,0.7177542661266963,0.5252539260493766,88.47557803989352,71.0594238410596
643,Russian Federation,0.798,70.62043782589373,56.381671436654564,0.600297358986358,0.41834680377637046,84.00849133899014,68.03662276341949
702,Singapore,0.912,75.35456209169152,60.36389082803985,0.7421697225892226,0.5359450772037821,104.80432077265,84.64852232215863
170,Colombia,0.72,64.88977930546932,51.852503558192915,0.6702018003530795,0.47822754142746254,78.67984728536803,63.43572106824926
188,Costa Rica,0.766,71.81747429314606,57.96907363767165,0.5684534286018381,0.3912755451267391,69.56090542622599,55.63100145645208
752,Sweden,0.907,72.27723245326335,57.30272535859559,0.7085785874149544,0.5142658053318886,102.12884116913894,82.8059699523635
528,Netherlands,0.922,68.27183485162105,54.4237407792364,0.7666941090347251,0.5717582990116418,100.79122516688626,82.75037344475395
634,Qatar,0.85,79.20003438385264,62.97335714615592,0.7153703456547077,0.5177247090720332,98.41122127395106,80.00445146072995
784,United Arab Emirates,0.835,74.58421303947705,59.307837191463456,0.7222081382067927,0.5257039707237533,98.9002774977256,80.4909582833345
840,United States,0.915,60.72736430174283,47.963753362868566,0.7781211606193309,0.5861598911947117,96.66757646073984,79.21714736842105
788,Tunisia,0.721,72.53223712819589,58.563918525908214,0.5980184242309003,0.4117564845942749,65.00678681613567,51.42325134883721
792,Turkey,0.761,66.25845189426143,53.11660251996706,0.6366301560976187,0.4543761849919712,77.22953661026746,62.388744868532655
392,Japan,0.891,74.26300067769193,59.42518901461446,0.6556522853142034,0.4634488085303444,93.84200277458142,75.01884624642696
499,Montenegro,0.802,75.6379885087769,60.04850091109951,0.6349174082541507,0.4469423321700888,85.41811859459264,68.63968702559576
124,Canada,0.913,65.3470507702831,51.57010938503657,0.7076363010409277,0.5162757759857299,91.64430271806236,73.88989645029415
705,Slovenia,0.88,66.63322389026828,53.25803815445764,0.7133254698809646,0.5238383921507693,94.83240281487483,77.48343131439276
376,Israel,0.894,76.93768371041365,61.12371730111463,0.7313512295487071,0.5386868246418492,106.0298555641944,86.8509833282813
